Time (UTC),Day-ahead Total Load Forecast [MW] - BZN|DE-LU,Day-ahead Price [EUR/MWh],Solar  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW],Day-ahead Price [EUR/MWh]_pacf_lag_24,Day-ahead Price [EUR/MWh]_pacf_lag_25,year,quarter,month,week_of_year,day,weekday,is_weekend,hour,is_holiday
2020-01-01 01:00:00,175457.0,38.6,0.0,4677,23450.0,,,2020,1,1,1,1,2,0,1,1
2020-01-01 02:00:00,171752.0,36.55,0.0,6662,22993.0,,,2020,1,1,1,1,2,0,2,1
2020-01-01 03:00:00,171343.0,32.32,0.0,8249,21932.0,,,2020,1,1,1,1,2,0,3,1
2020-01-01 04:00:00,171812.0,30.85,0.0,9168,22047.0,,,2020,1,1,1,1,2,0,4,1
2020-01-01 05:00:00,170407.0,30.14,0.0,8638,22588.0,,,2020,1,1,1,1,2,0,5,1
2020-01-01 06:00:00,164280.0,30.17,0.0,7772,22530.0,,,2020,1,1,1,1,2,0,6,1
2020-01-01 07:00:00,169354.0,30.0,0.0,8618,21297.0,,,2020,1,1,1,1,2,0,7,1
2020-01-01 08:00:00,179930.0,30.65,1501.0,9133,20368.0,,,2020,1,1,1,1,2,0,8,1
2020-01-01 09:00:00,191219.0,30.65,12443.0,9365,20407.0,,,2020,1,1,1,1,2,0,9,1
2020-01-01 10:00:00,198917.0,30.27,27114.0,10186,19577.0,,,2020,1,1,1,1,2,0,10,1
2020-01-01 11:00:00,206180.0,30.34,38872.0,11008,18682.0,,,2020,1,1,1,1,2,0,11,1
2020-01-01 12:00:00,206153.0,30.99,44297.0,13454,16842.0,,,2020,1,1,1,1,2,0,12,1
2020-01-01 13:00:00,200595.0,30.04,40742.0,14476,17123.0,,,2020,1,1,1,1,2,0,13,1
2020-01-01 14:00:00,196544.0,30.75,28123.0,13307,16558.0,,,2020,1,1,1,1,2,0,14,1
2020-01-01 15:00:00,196670.0,32.11,10154.0,11870,17354.0,,,2020,1,1,1,1,2,0,15,1
2020-01-01 16:00:00,201298.0,35.98,490.0,11940,22122.0,,,2020,1,1,1,1,2,0,16,1
2020-01-01 17:00:00,214055.0,40.4,0.0,15024,27177.0,,,2020,1,1,1,1,2,0,17,1
2020-01-01 18:00:00,219662.0,44.05,0.0,17834,31946.0,,,2020,1,1,1,1,2,0,18,1
2020-01-01 19:00:00,217605.0,43.15,0.0,18841,35663.0,,,2020,1,1,1,1,2,0,19,1
2020-01-01 20:00:00,210836.0,43.45,0.0,17621,38498.0,,,2020,1,1,1,1,2,0,20,1
2020-01-01 21:00:00,205416.0,40.68,0.0,16093,40589.0,,,2020,1,1,1,1,2,0,21,1
2020-01-01 22:00:00,203024.0,40.27,0.0,15080,36360.0,,,2020,1,1,1,1,2,0,22,1
2020-01-01 23:00:00,192156.0,34.85,0.0,15303,34393.0,,,2020,1,1,1,1,2,0,23,1
2020-01-02 00:00:00,185575.0,35.4,0.0,16918,32727.0,,,2020,1,1,1,2,3,0,0,0
2020-01-02 01:00:00,179112.0,31.98,0.0,18485,29697.0,38.6,,2020,1,1,1,2,3,0,1,0
2020-01-02 02:00:00,177648.0,30.5,0.0,20088,27923.0,36.55,38.6,2020,1,1,1,2,3,0,2,0
2020-01-02 03:00:00,178806.0,28.79,0.0,20833,25441.0,32.32,36.55,2020,1,1,1,2,3,0,3,0
2020-01-02 04:00:00,182923.0,28.42,0.0,21180,24977.0,30.85,32.32,2020,1,1,1,2,3,0,4,0
2020-01-02 05:00:00,195126.0,28.75,0.0,20626,27660.0,30.14,30.85,2020,1,1,1,2,3,0,5,0
2020-01-02 06:00:00,220234.0,34.16,0.0,21584,31268.0,30.17,30.14,2020,1,1,1,2,3,0,6,0
2020-01-02 07:00:00,240093.0,42.07,0.0,21616,34725.0,30.0,30.17,2020,1,1,1,2,3,0,7,0
2020-01-02 08:00:00,248639.0,44.89,1720.0,21924,35204.0,30.65,30.0,2020,1,1,1,2,3,0,8,0
2020-01-02 09:00:00,250840.0,45.26,12575.0,23700,35743.0,30.65,30.65,2020,1,1,1,2,3,0,9,0
2020-01-02 10:00:00,252873.0,45.57,24545.0,24348,34912.0,30.27,30.65,2020,1,1,1,2,3,0,10,0
2020-01-02 11:00:00,254217.0,45.09,32717.0,25769,31273.0,30.34,30.27,2020,1,1,1,2,3,0,11,0
2020-01-02 12:00:00,253190.0,45.16,34474.0,25692,28287.0,30.99,30.34,2020,1,1,1,2,3,0,12,0
2020-01-02 13:00:00,250295.0,44.9,28974.0,25612,28327.0,30.04,30.99,2020,1,1,1,2,3,0,13,0
2020-01-02 14:00:00,247606.0,44.06,18287.0,26009,31236.0,30.75,30.04,2020,1,1,1,2,3,0,14,0
2020-01-02 15:00:00,246388.0,44.84,5617.0,25873,36320.0,32.11,30.75,2020,1,1,1,2,3,0,15,0
2020-01-02 16:00:00,248692.0,44.4,212.0,26077,42350.0,35.98,32.11,2020,1,1,1,2,3,0,16,0
2020-01-02 17:00:00,257450.0,46.05,0.0,26429,51103.0,40.4,35.98,2020,1,1,1,2,3,0,17,0
2020-01-02 18:00:00,257131.0,46.72,0.0,26950,59216.0,44.05,40.4,2020,1,1,1,2,3,0,18,0
